Ticker,Quarter,Dividend,ExDiv,PayDate
GSK.L,Q4 2026,,2027-02-18,2027-04-08
GSK.L,Q3 2026,,2026-11-12,2027-01-07
GSK.L,Q2 2026,,2026-08-13,2026-10-08
GSK.L,Q1 2026,,2026-05-14,2026-07-09
GSK.L,Q4 2025,,2026-02-19,2026-04-09
GSK.L,Q3 2025,,2025-11-13,2026-01-08
